latency: 1 cycle (1.v)
time  area           performance
 9.5  102309.076648  971,936.2281560
10.0  92875.3054710  928,753.0547100
10.5  84438.3456580  886,602.6294090
10.6  77391.9216510  820,354.3695006
10.7  76329.4897400  816,725.5402180 v
10.8  75917.0161180  819,903.7740744
10.9  75692.0304720  825,043.1321448
11.0  74526.4800920  819,791.2810120
11.1  75279.5569050  835,603.0816455
11.2  73895.2705470  827,627.0301264
11.3  74135.8802100  837,735.4463730
11.5  73435.9249940  844,513.1374310
12.0  70329.8737720  843,958.4852640
13.0  66961.3393790  870,497.4119270
14.0  64070.8993580  896,992.5910120

latency: 2 cycle (2.v)
time  area          performance
 9.0  92759.687747  1,669,674.3794460
10.0  80813.577658  1,616,271.5531600
10.1  81791.640069  1,652,191.1293938
10.2  74773.339369  1,525,376.1231276
10.3  74595.225728  1,536,661.6499968
10.4  71517.297705  1,487,559.7922640
10.5  70751.721708  1,485,786.1558680
10.6  70954.833689  1,504,242.4742068
10.7  68564.361682  1,467,277.3399948 v
10.8  69426.806502  1,499,619.0204432
10.9  68504.990501  1,493,408.7929218
11.0  68483.116894  1,506,628.5716680
12.0  65789.539327  1,578,948.9438480
13.0  63745.920127  1,657,393.9233020
15.0  61133.587333  1,834,007.6199900
20.0  57699.432161  2,307,977.2864400
